"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"7749","No","2000 - 2004",344393,1,4,32.1,12,1
"7750","No","2000 - 2004",344394,1,37,2674.17,8085,1
"7751","No","2000 - 2004",344409,3,149,25300.59,102066,1
"7752","No","2000 - 2004",344421,5,523,336538.38,4939246,2
"7753","No","2000 - 2004",344431,1,45,599.64,1908,1
"7754","Yes","2005 - 2009",344440,1,50,43028.82,136788,1
"7755","No","2005 - 2009",344444,1,63,13771.43,25895,1
"7756","No","2005 - 2009",344464,2,198,357214.43,1647809,1
"7757","No","2005 - 2009",344470,4,81,7530.94,26987,2
"7758","No","2000 - 2004",344491,1,28,786.9,5246,1
"7759","No","2000 - 2004",344493,2,119,42080.5,167111,1
"7760","No","2000 - 2004",344497,2,61,1082.47,31617,1
"7761","No","2000 - 2004",344503,1,38,1619.93,12254,1
"7762","No","2000 - 2004",344507,1,34,5680.85,40115,1
"7763","No","2000 - 2004",344512,1,34,315.64,7891,1
"7764","No","2000 - 2004",344514,1,37,4198.32,34986,1
"7765","Yes","2000 - 2004",344515,1,34,1886.5,18865,1
"7766","No","2000 - 2004",344517,1,28,664.99,14540,1
"7767","No","2000 - 2004",344519,1,2,31.22,218,1
"7768","No","2005 - 2009",344529,1,20,1621.18,7369,1
"7769","Yes","2005 - 2009",344530,1,16,648.4,6484,1
"7770","No","2005 - 2009",344532,2,43,13747.11,274262,1
"7771","No","2005 - 2009",344534,2,56,46828.93,459904,1
"7772","No","2005 - 2009",344536,1,37,996.65,8799,1
"7773","Yes","2005 - 2009",344538,1,20,12089.42,92459,1
"7774","No","2005 - 2009",344540,1,39,508.8,10176,1
"7775","No","2005 - 2009",344542,1,63,3166.49,33142,2
"7776","No","2005 - 2009",344545,3,79,22923.06,477868,1
"7777","No","2005 - 2009",344547,1,2,23.7,237,1
"7778","No","2005 - 2009",344550,1,2,24.94,303,1
"7779","No","2005 - 2009",344553,2,16,637.28,4564,1
"7780","No","2000 - 2004",344633,1,1,0.16,8,1
"7781","No","2000 - 2004",344638,1,43,4017.92,13676,1
"7782","No","2000 - 2004",344650,1,66,10116.12,161108,1
"7783","No","2000 - 2004",344654,1,17,2617.12,9366,1
"7784","No","2000 - 2004",344658,1,18,422.25,993,1
"7785","No","2000 - 2004",344663,1,95,47961.36,1450682,3
"7786","No","2000 - 2004",344667,2,57,6045.37,363295,1
"7787","No","2000 - 2004",344669,1,86,19919.75,51065,1
"7788","No","2000 - 2004",344676,2,64,12120.19,189500,1
"7789","No","2000 - 2004",344678,1,55,7621.4,17925,7
"7790","No","2005 - 2009",344690,2,13,48.23,45,1
"7791","No","2005 - 2009",344691,1,32,2307.52,4635,2
"7792","No","2005 - 2009",344701,1,1,2.13,0,1
"7793","No","2005 - 2009",344704,1,50,5064.86,58974,1
"7794","No","2005 - 2009",344719,1,62,4259.98,8567,1
"7795","No","2005 - 2009",344725,1,19,131.74,21,1
"7796","No","2005 - 2009",344735,1,3,16.04,1,1
"7797","No","2005 - 2009",344744,1,28,1239.3,10158,1
"7798","No","2005 - 2009",344745,2,37,2558.4,15804,1
"7799","No","2005 - 2009",344750,1,30,8735.07,60610,1
"7800","No","2005 - 2009",344752,1,13,321.42,2512,1
"7801","No","2005 - 2009",344768,1,37,2259.31,13883,1
"7802","No","2005 - 2009",344775,2,81,148078.79,832698,1
"7803","Yes","2005 - 2009",344790,2,30,2774.52,49299,1
"7804","No","2005 - 2009",344793,1,26,451.41,4021,1
"7805","No","2005 - 2009",344798,2,65,17559.79,487752,1
"7806","No","2000 - 2004",344860,3,233,169825.49,1220163,7
"7807","No","2000 - 2004",344862,2,111,32111.47,91853,1
"7808","No","2000 - 2004",344874,1,46,3691.28,9186,1
"7809","No","2000 - 2004",344883,1,47,11506.56,23959,1
"7810","Yes","2000 - 2004",344902,1,13,548.91,1852,1
"7811","No","2000 - 2004",344909,1,14,1506.66,4809,1
"7812","No","2000 - 2004",344915,1,27,873.75,1639,1
"7813","No","2000 - 2004",344919,1,71,16389.9,60137,2
"7814","No","2000 - 2004",344922,1,18,51.34,803,1
"7815","No","2005 - 2009",344933,1,17,36.21,0,1
"7816","No","2005 - 2009",344940,3,67,36965.55,991194,1
"7817","No","2005 - 2009",344944,1,79,16507.96,49738,1
"7818","No","2005 - 2009",344955,3,142,77323.92,453606,1
"7819","Yes","2005 - 2009",344966,1,9,-25.56,2,1
"7820","No","2005 - 2009",344980,1,33,4030.61,12686,1
"7821","No","2005 - 2009",344985,2,68,31803.32,124529,1
"7822","No","2005 - 2009",344988,2,34,330,2379,2
"7823","No","2005 - 2009",344992,2,76,5730.62,95898,1
"7824","No","2005 - 2009",344996,1,32,1278.2,20807,1
"7825","No","2005 - 2009",345000,1,2,0.4,5,1
"7826","No","2005 - 2009",345003,1,8,89.48,941,1
"7827","No","2005 - 2009",345009,2,45,1647.55,16011,1
"7828","No","2005 - 2009",345017,1,45,15658.97,187713,1
"7829","No","2005 - 2009",345020,1,19,144.32,2806,1
"7830","No","2000 - 2004",345114,1,16,102.24,0,1
"7831","No","2000 - 2004",345115,1,84,12434.11,29917,1
"7832","No","2000 - 2004",345117,1,10,152.15,895,1
"7833","No","2000 - 2004",345124,1,101,22025.65,56526,1
"7834","No","2000 - 2004",345133,1,87,69544,182765,1
"7835","No","2000 - 2004",345138,1,84,7270.24,101289,1
"7836","No","2000 - 2004",345139,2,45,5056.35,11769,1
"7837","No","2000 - 2004",345145,1,84,44368.37,129695,1
"7838","Yes","2000 - 2004",345152,1,6,1.78e-15,2,1
"7839","No","2000 - 2004",345157,1,34,2756.88,6371,1
"7840","No","2005 - 2009",345178,1,15,1428.18,3257,1
"7841","Yes","2005 - 2009",345180,1,10,263.17,2052,1
"7842","No","2005 - 2009",345186,1,23,766.26,3150,1
"7843","No","2005 - 2009",345191,1,17,1091.4,0,1
"7844","Yes","2005 - 2009",345194,2,54,11544.64,16976,1
"7845","No","2005 - 2009",345203,1,19,324.29,1124,1
"7846","No","2005 - 2009",345205,1,75,1526.23,9055,1
"7847","No","2005 - 2009",345211,1,31,3199.73,12219,1
"7848","No","2005 - 2009",345227,1,2,65.97,145,1
"7849","No","2005 - 2009",345228,1,89,21063.41,122407,1
"7850","No","2005 - 2009",345233,1,12,143.46,1912,1
"7851","No","2005 - 2009",345236,1,35,2707.67,22466,1
"7852","No","2005 - 2009",345261,1,35,359.81,5974,1
"7853","No","2005 - 2009",345267,2,41,3675.26,53853,1
"7854","No","2005 - 2009",345271,1,51,12261.32,241052,1
"7855","No","2005 - 2009",345272,1,25,362.53,6224,1
"7856","No","2005 - 2009",345282,1,34,2321.82,25798,1
